project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P101230,Moderately Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,MODERATELY UNSATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P102790,,NIL,,,,,,,,NIL,,,,,,,,NIL
P112998,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,SUBSTANTIAL,MODEST
P112242,,NIL,,,,,,,,NIL,,,,,,,,NIL
P092211,,NIL,,,,,,,,NIL,,,,,,,,NIL
P112635,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,,NIL,,,,,,,,NIL
P102172,Moderately Unsatisfactory,NIL,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Unsatisfactory,MODERATELY UNSATISFACTORY,MODERATE,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,SUBSTANTIAL,MODEST
P113160,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,NEGLIGIBLE TO LOW,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P109683,Moderately Satisfactory,NIL,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Unsatisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATE,MODEST
P103974,Moderately Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P108069,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P101160,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
